text,sentiment,cleaned_text,final_result
"#NASDAQ E-mini #Futures #NQ_F  ⬆️ 77.25 Points (0.73%) to 10,720.5 #futurestrading #future #NASDAQ100 #Investment #investing #invest #investor #investors #stock #stocks #StockMarket https://t.co/mzotIguudf https://t.co/jAJH0jEmGH https://t.co/V3OkdJwJEL",positive," E-mini    ⬆️ 77.25 Points (0.73%) to 10,720.5              ",positive
Tenaris $TS Stock Rating Upgraded by Goldman Sachs Group https://t.co/FJKAZWC9bg #stocks,positive,Tenaris $TS Stock Rating Upgraded by Goldman Sachs Group  ,neutral
"RT @ThePitBoss16: Google Stock Soars Near 10% After Earnings 
Alphabet Inc Class A NASDAQ: $GOOGL
Market Reaction After hours 
$1,346.00 +1…",positive,"RT : Google Stock Soars Near 10% After Earnings 
Alphabet Inc Class A NASDAQ: $GOOGL
Market Reaction After hours 
$1,346.00 +1…",positive
"DYK that on May 22 2020 $UONE was trading at $1.28 and today it’s opening at $21.50. 
Who put in $1,000 + on or B4 the 26th?
IDK... they should be proud. 
Unless you’re White and haven’t donated money back to the Black community.
Don’t have to.
But it would be nice. 
JS
#stocks https://t.co/yVKpZIVN7G",positive,"DYK that on May 22 2020 $UONE was trading at $1.28 and today it’s opening at $21.50. 
Who put in $1,000 + on or B4 the 26th?
IDK... they should be proud. 
Unless you’re White and haven’t donated money back to the Black community.
Don’t have to.
But it would be nice. 
JS
 ",neutral
"https://t.co/Pj9Gu287hf
$MA, $SAM   to Intraday_Trend_End.] https://t.co/O6wkep5G2a =",neutral,"
$MA, $SAM   to Intraday_Trend_End.]  =",neutral
"RT @jadid: Green suites the #StockMarket . The market continues to rebound, erasing earlier losses. $DJI $NDX $SPX $RUT #MarketUpdate https…",positive,"RT : Green suites the  . The market continues to rebound, erasing earlier losses. $DJI $NDX $SPX $RUT  ",positive
"$qqq We have detected a noticeable rise in the Zeitgeist for Invesco QQQ Trust at  https://t.co/RAhgfFVkoM
Visit DataSwarm Markets for more information
#STOCKS #NASDAQ
DataSwarm ref: 101873",positive,"$qqq We have detected a noticeable rise in the Zeitgeist for Invesco QQQ Trust at  
Visit DataSwarm Markets for more information
 
DataSwarm ref: 101873",positive
$T dropped under $30 so you know what i did 😏😏,negative,$T dropped under $30 so you know what i did 😏😏,neutral
"#LEGO #LEGOCity set 60132 - Service Station, 2016 Release #LEGOVehicles #LEGOcars #AFOL #LEGObricks #CollectibleToys #Toys #SP500 #stocks #instafollow #legoresaleprices #LEGOblocks #top10best #top10LEGO https://t.co/EBLT5fdutd",neutral,"  set 60132 - Service Station, 2016 Release              ",neutral
RT @SheepKnowMore: Fake outrage. $FB is an invaluable Deep State election-interference tool. Tantrums like this by their #FakeNews media al…,negative,RT : Fake outrage. $FB is an invaluable Deep State election-interference tool. Tantrums like this by their  media al…,negative
"$ES_F Needs to trade $90s+ or $2640-$2650 on deck today 

$SPY $SPX https://t.co/zTkybafvh6",neutral,"$ES_F Needs to trade $90s+ or $2640-$2650 on deck today 

$SPY $SPX ",neutral
"Told ya so @CNBCFastMoney . Tesla $tsla up another 7.5% today so far today to $1,011. At this rate we’ll be at 2k by the end of June. 😉 #tesla #ev #cnbc #stocks #stockmarket #space #batteries #cybertruck #teslasemi https://t.co/kurTilLYSq",positive,"Told ya so  . Tesla $tsla up another 7.5% today so far today to $1,011. At this rate we’ll be at 2k by the end of June. 😉          ",positive
"RT @conkers3: @HTVIOLA @wheeliedealer Thank u4 such generous feedback Henry👏

Pete &amp; I are focused on #learning &amp; #improving our #investing…",positive,"RT :   Thank u4 such generous feedback Henry👏

Pete &amp; I are focused on  &amp;  our …",positive
"That’s right. We’re facing the prospect of a long and deep recession, and yet stock prices have surged 45% in a matter of weeks. Just stay calm — and keep taking the shots #Stocks #Investing https://t.co/sKV4idhlVy",positive,"That’s right. We’re facing the prospect of a long and deep recession, and yet stock prices have surged 45% in a matter of weeks. Just stay calm — and keep taking the shots   ",negative
DHI Group $DHX Price Target Cut to $4.25 by Analysts at B. Riley https://t.co/iVhKwDicqV #stocks,negative,DHI Group $DHX Price Target Cut to $4.25 by Analysts at B. Riley  ,negative
"RT @vincent13031925: Biggest mistakes of the century:

From before,

Apple $AAPL is only a PC maker

Amazon $AMZN is only a bookstore 

Goo…",negative,"RT : Biggest mistakes of the century:

From before,

Apple $AAPL is only a PC maker

Amazon $AMZN is only a bookstore 

Goo…",neutral
"Available #onhand #stocks of REGULAR #CYTOKIT text me at 09653052991  

 #pampalaglag #cytotec #cytoteckit #abortion #mifepristone #misoprostol #abortionpills #abortionphilippines #cytotecphilippines #cytokitphilippines 09653052991 :) https://t.co/7azgTj5r47",neutral,"Available   of REGULAR  text me at 09653052991  

           09653052991 :) ",neutral
"Week 24 (Mon PM Recap)

$spx 3023.75 breakout to 3040, 3055, 3070 https://t.co/BpOhEm4Qoc https://t.co/Oz1OY6FuhI",positive,"Week 24 (Mon PM Recap)

$spx 3023.75 breakout to 3040, 3055, 3070  ",positive
Check which story for #DowJones has the highest score $V $MMM $MCD https://t.co/8zP8MKc2dK https://t.co/uc6PfL9S6o,positive,Check which story for  has the highest score $V $MMM $MCD  ,neutral
"RT @Lakshmi_888: When I called highs $SPX 33xx,most called 3500+
When most called &lt;1800 at SPX 2175,I called reversal
When most called 3000…",positive,"RT : When I called highs $SPX 33xx,most called 3500+
When most called &lt;1800 at SPX 2175,I called reversal
When most called 3000…",neutral
@omgwtf2011 @BearingtonTrade $T made their dollar back 🤣🤣🤣🤣 https://t.co/wmKK5XErq0,positive,  $T made their dollar back 🤣🤣🤣🤣 ,positive
"Why Amazon is thriving when retail sector takes a severe beating from Covid-19...
https://t.co/GzEIw6uTWS
#retail #Walmart #Amazon $WMT $AMZN $TGT $DG $M #Macy's #Dollar #General #Coronavirus #Covid-19 #Pandemic #shutdown #epidemic https://t.co/8b0fIxe4GC",negative,"Why Amazon is thriving when retail sector takes a severe beating from Covid-19...

   $WMT $AMZN $TGT $DG $M 's    -19    ",negative
Nomura Increases Tractor Supply $TSCO Price Target to $95.00 https://t.co/MKWK2oCfnz #stocks,positive,Nomura Increases Tractor Supply $TSCO Price Target to $95.00  ,positive
$FANG - Diamondback Energy: Quality Guidance From Management. https://t.co/u70RjddJYE #finance #stocks #business,positive,$FANG - Diamondback Energy: Quality Guidance From Management.    ,neutral
"📺Available now to view on demand: Cycles In The Time of #COVIDー19, with @bcaresearch's strategist, Mathieu Savary. Watch the webinar now 👉  https://t.co/M7ViH92nFC .
#bonds #stocks #investors #funds. https://t.co/yZUCaLqWGu",neutral,"📺Available now to view on demand: Cycles In The Time of ー19, with 's strategist, Mathieu Savary. Watch the webinar now 👉   .
   . ",neutral
RT @ZacksResearch: What's the short-term outlook for Disney? $DIS https://t.co/R4lUsdzaeV,neutral,RT : What's the short-term outlook for Disney? $DIS ,neutral
Tenaris SA $TS Expected to Post Quarterly Sales of $1.14 Billion https://t.co/VoQrURiDDx #stocks,neutral,Tenaris SA $TS Expected to Post Quarterly Sales of $1.14 Billion  ,neutral
"RT @JackChappleSci: China Is Buying Up The World's Ports...And No One Is Talking About It
https://t.co/h8vvMo2tLT

#china #business #longbe…",positive,"RT : China Is Buying Up The World's Ports...And No One Is Talking About It


  …",neutral
"RT @FacelessTrader: We can $work from home, oh, oh, oh oh - Fifth Harmony
https://t.co/ZPFeSKXUDa

I dont care about Goldman Sachs downgrad…",positive,"RT : We can $work from home, oh, oh, oh oh - Fifth Harmony


I dont care about Goldman Sachs downgrad…",neutral
RT @The_Hedge_House: $DLPN Only ONE day removed from the misguided article that was intentionally published by @Benzinga 🤔. Please do not u…,neutral,RT : $DLPN Only ONE day removed from the misguided article that was intentionally published by  🤔. Please do not u…,neutral
"Remember the turn? Now start preparing for the greatest market crash in history. I say it like I see it. 

$TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/OhukyvRnIm",negative,"Remember the turn? Now start preparing for the greatest market crash in history. I say it like I see it. 

$TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB ",neutral
Analysts Expect GreenSky Inc $GSKY Will Announce Quarterly Sales of $104.06 Million https://t.co/lI3jhYZz97 #stocks,neutral,Analysts Expect GreenSky Inc $GSKY Will Announce Quarterly Sales of $104.06 Million  ,neutral
#ES_F #CL_F #NQ_F $GOLD #OOTT #OATT $SPY $SPX #Trading #Forex #forexsignals #EURUSD #GBPUSD #OPEC #Volatility $VIX $VXX #Futures #SP500 #6E_F #6B_F https://t.co/09OqZw6DOg,neutral,   $GOLD   $SPY $SPX        $VIX $VXX     ,neutral
"$AMZN Amazon to Pay $500M Bonuses to Employees Who Worked in June

https://t.co/KBf02J6Sk1",positive,"$AMZN Amazon to Pay $500M Bonuses to Employees Who Worked in June

",negative
@CNBCFastMoney $AAPL-- DUMP DUMP. OVERVALUED AND EXPENSIVE JUNK.,negative, $AAPL-- DUMP DUMP. OVERVALUED AND EXPENSIVE JUNK.,negative
"@GoldmanSachs, #es, #sp500, #usdollar, #euro, #aussiedollar, #poundsterling
still uncertain on the direction of the dollar. The euro has bounced off the lows. https://t.co/6UTsTHOWiN",negative,", , , , , , 
still uncertain on the direction of the dollar. The euro has bounced off the lows. ",negative
Weekly High Frequency Indicators: The Nowcast Retreats Slightly. https://t.co/2jjkUEBSPC #stockmarket #stocks #trading,neutral,Weekly High Frequency Indicators: The Nowcast Retreats Slightly.    ,negative
RT @ChrisCarreon06: Beautiful box in #ES_F $SPX forming this week. You guys know what comes next!,positive,RT : Beautiful box in  $SPX forming this week. You guys know what comes next!,neutral
RT @RedDogT3: $spx intraday look with some levels and thoughts https://t.co/41qBwfESDv,neutral,RT : $spx intraday look with some levels and thoughts ,neutral
$BYND is up 20% since our entry from last week. Price blasted through one PLL zone today and stopped at the second. You want so see support at the PLL zone above 150$ from now on. #stocks https://t.co/C0CaebstL5,positive,$BYND is up 20% since our entry from last week. Price blasted through one PLL zone today and stopped at the second. You want so see support at the PLL zone above 150$ from now on.  ,positive
"ABG Sundal Collier - #TF Bank AB TF Bank - Loan loss level down 180bp q-o-q: PBLL in Q2’20 slightly lower than ABGSC and consensus Loan loss level came in at 370bp, down 180bp vs Q1’20 Share to outperform on loan loss relief https://t.co/grKEYWzpv9 #equity #stocks https://t.co/yXYhT8Jf0G",negative,"ABG Sundal Collier -  Bank AB TF Bank - Loan loss level down 180bp q-o-q: PBLL in Q2’20 slightly lower than ABGSC and consensus Loan loss level came in at 370bp, down 180bp vs Q1’20 Share to outperform on loan loss relief    ",negative
Apple Option Alert: Jul 17 $380 Calls Sweep (6) below Bid!: 450 @ $3.652 vs 3833 OI; Earnings 7/28 After Close [est] Ref= $358.05 $AAPL,negative,Apple Option Alert: Jul 17 $380 Calls Sweep (6) below Bid!: 450 @ $3.652 vs 3833 OI; Earnings 7/28 After Close [est] Ref= $358.05 $AAPL,neutral
Picked $amzn 3300 for earnings around 22. Should work If it runs into earnings!,positive,Picked $amzn 3300 for earnings around 22. Should work If it runs into earnings!,neutral
RT @Northst18363337: Gold and especially silver could be about to experience one hell of a spike. Stay calm if it does and be ready to take…,negative,RT : Gold and especially silver could be about to experience one hell of a spike. Stay calm if it does and be ready to take…,neutral
$SPX Implied Volatility expiration 05/15/2020 #maxpain #options https://t.co/tFrmDjCFsa https://t.co/Nz0K9K6U6b,negative,$SPX Implied Volatility expiration 05/15/2020    ,neutral
"Only in America do people believe that buying stocks is their national identity and sworn duty to society

$SPX $SPY",positive,"Only in America do people believe that buying stocks is their national identity and sworn duty to society

$SPX $SPY",neutral
"$GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA $TWTR $ZM $BABA $FB $DOW $MSFT $QQQ $BB
To enhance your experience in trading and get instant help click here https://t.co/waJXnpA7xo https://t.co/p94fTX4VO5",positive,"$GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA $TWTR $ZM $BABA $FB $DOW $MSFT $QQQ $BB
To enhance your experience in trading and get instant help click here  ",neutral
"RT @t0_the_mo0n_: Top stocks to buy this week(in order)-

1- $KTOV huge announcements coming this week 🚀📈
2- $IDEX
3- $BIOC
4- $XSPA
5- $SH…",positive,"RT : Top stocks to buy this week(in order)-

1- $KTOV huge announcements coming this week 🚀📈
2- $IDEX
3- $BIOC
4- $XSPA
5- $SH…",neutral
RT @stebottaioli: $SPX protect yourself https://t.co/5yuv3AEV5f,negative,RT : $SPX protect yourself ,neutral
RT @AlertTrade: #algotrading #algotrade $SPX $SPY $AMZN $AAPL $FB $SHOP $NVDA $GOOGL $PAYX $ASPU $SMPL $WBA $BBBY $LEVI $SGH $MSM $HELE $AZ…,neutral,RT :   $SPX $SPY $AMZN $AAPL $FB $SHOP $NVDA $GOOGL $PAYX $ASPU $SMPL $WBA $BBBY $LEVI $SGH $MSM $HELE $AZ…,neutral
Dow rises as Wall Street focuses on easing coronavirus lockdowns amid civil unrest https://t.co/SUw6IaN5Kz $SFIX $PFE $CSCO $STX $DKS $ZM,positive,Dow rises as Wall Street focuses on easing coronavirus lockdowns amid civil unrest  $SFIX $PFE $CSCO $STX $DKS $ZM,positive
"Now do September lol

41pts in 1 minute 😮

#es_f $spx $spy https://t.co/jIBi7qoBqz",neutral,"Now do September lol

41pts in 1 minute 😮

 $spx $spy ",neutral
"You're not gonna want to miss this! @Benzinga's last Boot Camp was great, and this one could be even better!
https://t.co/bqaWKdNXVY
#DayTrading #stocks #investing #profits https://t.co/3SqJn6wuiB",positive,"You're not gonna want to miss this! 's last Boot Camp was great, and this one could be even better!

    ",positive
"Another day, another overnight bid higher. Gotta love low volume overnight rallies off key support levels. 

$spx $spy https://t.co/DFsBzOtO27",positive,"Another day, another overnight bid higher. Gotta love low volume overnight rallies off key support levels. 

$spx $spy ",negative
"40pts on #nq_f

Made it back plus some more 😁

#es_f line is 3180-81

Bias in this area is 3192

Can't short above it

#nq_f is 10688
#es_f $spx $spy https://t.co/1AssSMIzlZ",negative,"40pts on 

Made it back plus some more 😁

 line is 3180-81

Bias in this area is 3192

Can't short above it

 is 10688
 $spx $spy ",neutral
"$ES1! RSI Divergence Signal

Exchange: PRIMEXBT
Symbol: ES1!
Timeframe: 1H
Signal: Bearish Divergence

Date: 06/23/2020, 7:10 PM

Trade SP500 Using Crypto Here:
https://t.co/gnPhDvSijn https://t.co/F3V9579jDp",negative,"$ES1! RSI Divergence Signal

Exchange: PRIMEXBT
Symbol: ES1!
Timeframe: 1H
Signal: Bearish Divergence

Date: 06/23/2020, 7:10 PM

Trade SP500 Using Crypto Here:
 ",neutral
RT @kpak82: $AAPL (weekly) https://t.co/vKGRLlIrkD,neutral,RT : $AAPL (weekly) ,neutral
Brokerages Expect Canadian National Railway $CNI Will Announce Earnings of $0.91 Per Share https://t.co/qF29Rzh2oP #stocks,positive,Brokerages Expect Canadian National Railway $CNI Will Announce Earnings of $0.91 Per Share  ,positive
#NetWire #RAT Targeting Taxpayers is Spreading via Legacy #Microsoft #Excel 4.0 #Macro $MSFT https://t.co/1yvirAzJf4 #Security #INFOSEC #NETSEC #Cybersecurity #APPSEC,neutral,  Targeting Taxpayers is Spreading via Legacy   4.0  $MSFT      ,neutral
Proud owner of $AMZN stock. This thing might help me retire next year ...and pay for my yacht,positive,Proud owner of $AMZN stock. This thing might help me retire next year ...and pay for my yacht,neutral
"RT @dynamicvol: Feels like the market moved on from the 1st order (virus count) to the 2nd order (oil, solvency) effects this week  $SPX $V…",positive,"RT : Feels like the market moved on from the 1st order (virus count) to the 2nd order (oil, solvency) effects this week  $SPX $V…",positive
"Cerus Co. $CERS to Post FY2020 Earnings of -$0.44 Per Share, Cantor Fitzgerald Forecasts https://t.co/IaND4ABRzj #stocks",negative,"Cerus Co. $CERS to Post FY2020 Earnings of -$0.44 Per Share, Cantor Fitzgerald Forecasts  ",positive
"$AHH $AHH.PA - Armada Hoffler Properties, Inc. (AHH) CEO Michael O'Hara on Q1 2020 Results - Earnings Call Transcript. https://t.co/hrBkQkE0dY #business #trading #stocks",neutral,"$AHH $AHH.PA - Armada Hoffler Properties, Inc. (AHH) CEO Michael O'Hara on Q1 2020 Results - Earnings Call Transcript.    ",neutral
$AMZN - Amazon establishes new aerospace cloud unit https://t.co/iU2uOt4XDb,positive,$AMZN - Amazon establishes new aerospace cloud unit ,neutral
"Chinese authorities appear spooked by their own success getting investors crazy about #stocks. State funds cut stakes in big insurer PICC, tech firms, sending signal #China wants to curb the frenzy. https://t.co/QhPSmAHZEj",negative,"Chinese authorities appear spooked by their own success getting investors crazy about . State funds cut stakes in big insurer PICC, tech firms, sending signal  wants to curb the frenzy. ",negative
"$FB Sentiment is neutral right now.
News mentions: positive (7), negative (27), neutral (38)
Sentiment score: +0.111 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at https://t.co/Qkw92RLxV8",neutral,"$FB Sentiment is neutral right now.
News mentions: positive (7), negative (27), neutral (38)
Sentiment score: +0.111 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at ",neutral
"RT @ISABELNET_SA: 🇺🇸 S&amp;P 500

This chart compares the S&amp;P 500 today vs. 1929-30. Have some investors underestimated how far the Fed would g…",negative,"RT : 🇺🇸 S&amp;P 500

This chart compares the S&amp;P 500 today vs. 1929-30. Have some investors underestimated how far the Fed would g…",neutral
"@bostonchaahhts If “best qtr since 87” doesn’t make you a little nervous, then by all means keep buying $TSLA $AMZN $NFLX $RDFN $CMG. Otherwise now may be a good time to take a little off here. #justsaying 

cc: @mchaudhry82 @traderstewie @Terri1618 @johnscharts https://t.co/QT4F4t1Jn5",positive," If “best qtr since 87” doesn’t make you a little nervous, then by all means keep buying $TSLA $AMZN $NFLX $RDFN $CMG. Otherwise now may be a good time to take a little off here.  

cc:     ",neutral
